ts_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015/1/5,000651.SZ,20150105,37.9,40.83,37.9,40.8,37.12,3.68,9.91,1072447.46,4315916.159
2015/1/6,000651.SZ,20150106,40.28,43.35,40.2,41.67,40.8,0.87,2.13,866480.02,3627794.204
2015/1/7,000651.SZ,20150107,41.25,42,40.6,41.6,41.67,-0.07,-0.17,387004.88,1599685.216
2015/1/8,000651.SZ,20150108,41.7,42.49,40.73,41.74,41.6,0.14,0.34,448544.71,1871451.851
2015/1/9,000651.SZ,20150109,41.73,42.68,40.44,41,41.74,-0.74,-1.77,357976.97,1485954.948
2015/1/12,000651.SZ,20150112,40.8,42.35,40.21,42.2,41,1.2,2.93,444472.34,1849577.635
2015/1/13,000651.SZ,20150113,41.92,44.22,41.6,44.1,42.2,1.9,4.5,404490.23,1744011.689
2015/1/14,000651.SZ,20150114,44.1,44.2,42.49,42.61,44.1,-1.49,-3.38,312973.98,1363571.786
2015/1/15,000651.SZ,20150115,42.45,43.61,41.6,43.44,42.61,0.83,1.95,228382.11,972235.1213
2015/1/16,000651.SZ,20150116,43.5,43.76,42.51,42.88,43.44,-0.56,-1.29,207802.82,891923.6972
2015/1/19,000651.SZ,20150119,41.19,41.97,38.59,40.03,42.88,-2.85,-6.65,415596.87,1678883.565
2015/1/20,000651.SZ,20150120,41.3,43.32,40.58,43.32,40.03,3.29,8.22,497368.14,2068001.788
2015/1/21,000651.SZ,20150121,44,44.2,42.68,43.92,43.32,0.6,1.39,357792.77,1563758.077
2015/1/22,000651.SZ,20150122,43.83,44.44,43,43.17,43.92,-0.75,-1.71,253681.55,1102989.508
2015/1/23,000651.SZ,20150123,43.25,43.7,42.6,43.01,43.17,-0.16,-0.37,253931.51,1092863.439
2015/1/26,000651.SZ,20150126,43.39,43.54,42.8,43.08,43.01,0.07,0.16,211869.41,912503.5887
2015/1/27,000651.SZ,20150127,43,43.29,41.35,42.01,43.08,-1.07,-2.48,344458.76,1453802.635
2015/1/28,000651.SZ,20150128,41.7,42.02,40.66,41.19,42.01,-0.82,-1.95,283796.87,1168274.392
2015/1/29,000651.SZ,20150129,40.3,41.17,40.3,40.63,41.19,-0.56,-1.36,239332.2,976052.2371
2015/1/30,000651.SZ,20150130,40.8,41.42,40.3,40.4,40.63,-0.23,-0.57,276954.17,1129105.039
2015/2/2,000651.SZ,20150202,39.77,40.5,39.43,39.52,40.4,-0.88,-2.18,273442.65,1089511.325
2015/2/3,000651.SZ,20150203,40,40.19,39.19,39.8,39.52,0.28,0.71,267158.74,1061687.641
2015/2/4,000651.SZ,20150204,39.9,40.55,39.43,39.48,39.8,-0.32,-0.8,218320.16,874376.2699
2015/2/5,000651.SZ,20150205,40.52,40.76,39,39,39.48,-0.48,-1.22,326796.75,1299914.137
2015/2/6,000651.SZ,20150206,39,39.4,38.06,38.5,39,-0.5,-1.28,199354.9,771455.0901
2015/2/9,000651.SZ,20150209,38.8,39.8,38.59,39.05,38.5,0.55,1.43,198939.82,777964.7113
2015/2/10,000651.SZ,20150210,39.25,39.95,39.06,39.83,39.05,0.78,2,232982.54,921390.6278
2015/2/11,000651.SZ,20150211,39.91,40.17,39.66,39.8,39.83,-0.03,-0.08,194730,776540.8945
2015/2/12,000651.SZ,20150212,39.84,39.9,38.7,39.1,39.8,-0.7,-1.76,241446.54,943085.4549
2015/2/13,000651.SZ,20150213,39.21,39.55,38.85,39.18,39.1,0.08,0.2,311923.01,1222331.403
2015/2/16,000651.SZ,20150216,39.19,39.28,38.5,38.73,39.18,-0.45,-1.15,357889.19,1385858.085
2015/2/17,000651.SZ,20150217,38.89,41.7,38.75,40.99,38.73,2.26,5.84,562110.23,2275143.769
2015/2/25,000651.SZ,20150225,41.09,41.86,40.41,41.22,40.99,0.23,0.56,400635.3,1650502.805
2015/2/26,000651.SZ,20150226,41.23,41.23,40.4,40.92,41.22,-0.3,-0.73,305288.17,1244881.788
2015/2/27,000651.SZ,20150227,40.99,41.2,40.4,40.53,40.92,-0.39,-0.95,273601.14,1114340.668
2015/3/2,000651.SZ,20150302,40.57,41.77,40.56,41.43,40.53,0.9,2.22,327083.01,1345237.512
2015/3/3,000651.SZ,20150303,41.16,41.36,39.69,39.81,41.43,-1.62,-3.91,353891.85,1439463.539
2015/3/4,000651.SZ,20150304,39.91,41.5,39.76,40.6,39.81,0.79,1.98,616342.52,2507513.671
2015/3/5,000651.SZ,20150305,40.2,40.4,38.71,39.3,40.6,-1.3,-3.2,450673.38,1772454.216
2015/3/6,000651.SZ,20150306,39.31,39.36,38.41,38.59,39.3,-0.71,-1.81,271052.27,1051506.101
2015/3/9,000651.SZ,20150309,38.2,39.47,37.51,39.23,38.59,0.64,1.66,370882.07,1421428.139
