ts_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015/1/5,600028.SH,20150105,6.59,7.14,6.45,7.14,6.49,0.65,10.02,11864996.45,8139851.035
2015/1/6,600028.SH,20150106,7.18,7.22,6.81,7,7.14,-0.14,-1.96,10899984.33,7634184.705
2015/1/7,600028.SH,20150107,6.91,7.26,6.76,7.18,7,0.18,2.57,7873153.01,5489033.816
2015/1/8,600028.SH,20150108,7.09,7.41,6.83,6.85,7.18,-0.33,-4.6,8190902.35,5822718.449
2015/1/9,600028.SH,20150109,6.78,7.03,6.64,6.73,6.85,-0.12,-1.75,6032037.47,4120401.749
2015/1/12,600028.SH,20150112,6.64,6.73,6.52,6.57,6.73,-0.16,-2.38,3421069.01,2267761.318
2015/1/13,600028.SH,20150113,6.56,6.73,6.5,6.58,6.57,0.01,0.15,2910149,1924842.686
2015/1/14,600028.SH,20150114,6.58,6.66,6.51,6.58,6.58,0,0,2445875.49,1612551.373
2015/1/15,600028.SH,20150115,6.63,6.95,6.56,6.9,6.58,0.32,4.86,4338809.37,2925547.926
2015/1/16,600028.SH,20150116,6.85,7.04,6.83,6.93,6.9,0.03,0.43,4936141.9,3416396.945
2015/1/19,600028.SH,20150119,6.53,6.74,6.24,6.24,6.93,-0.69,-9.96,5886693.82,3795939.51
2015/1/20,600028.SH,20150120,6.27,6.44,6.19,6.32,6.24,0.08,1.28,4058357.83,2565096.319
2015/1/21,600028.SH,20150121,6.31,6.7,6.24,6.6,6.32,0.28,4.43,5068504.77,3275542.927
2015/1/22,600028.SH,20150122,6.58,6.64,6.52,6.58,6.6,-0.02,-0.3,3272859.07,2153629.817
2015/1/23,600028.SH,20150123,6.6,6.82,6.55,6.6,6.58,0.02,0.3,4285268.96,2854996.106
2015/1/26,600028.SH,20150126,6.58,6.7,6.52,6.67,6.6,0.07,1.06,2819307.74,1861576.429
2015/1/27,600028.SH,20150127,6.67,6.72,6.38,6.48,6.67,-0.19,-2.85,3945450.28,2580314.352
2015/1/28,600028.SH,20150128,6.43,6.46,6.31,6.34,6.48,-0.14,-2.16,3071683.22,1958554.066
2015/1/29,600028.SH,20150129,6.2,6.21,6.05,6.16,6.34,-0.18,-2.84,6047625.91,3711845.017
2015/1/30,600028.SH,20150130,6.14,6.17,6.02,6.03,6.16,-0.13,-2.11,5024456.38,3057447.88
2015/2/2,600028.SH,20150202,5.98,6,5.85,5.87,6.03,-0.16,-2.65,4414511.16,2613810.847
2015/2/3,600028.SH,20150203,5.93,6.02,5.88,6.01,5.87,0.14,2.39,5198161.88,3087658.237
2015/2/4,600028.SH,20150204,6.03,6.11,5.91,5.92,6.01,-0.09,-1.5,4812302.39,2901319.871
2015/2/5,600028.SH,20150205,6.03,6.03,5.82,5.83,5.92,-0.09,-1.52,4214059.9,2495139.797
2015/2/6,600028.SH,20150206,5.81,5.82,5.65,5.69,5.83,-0.14,-2.4,4647273.77,2661121.883
2015/2/9,600028.SH,20150209,5.62,5.72,5.55,5.68,5.69,-0.01,-0.18,4570073.65,2575007.281
2015/2/10,600028.SH,20150210,5.63,5.75,5.61,5.74,5.68,0.06,1.06,4990621.83,2833973.123
2015/2/11,600028.SH,20150211,5.74,5.74,5.67,5.7,5.74,-0.04,-0.7,3331823.12,1899423.965
2015/2/12,600028.SH,20150212,5.7,5.86,5.64,5.83,5.7,0.13,2.28,4540962.97,2611097.227
2015/2/13,600028.SH,20150213,5.85,5.92,5.82,5.84,5.83,0.01,0.17,4150210.06,2433725.006
2015/2/16,600028.SH,20150216,5.85,5.89,5.81,5.87,5.84,0.03,0.51,2394641.65,1401012.99
2015/2/17,600028.SH,20150217,5.88,5.92,5.87,5.89,5.87,0.02,0.34,2484518.78,1464141.242
2015/2/25,600028.SH,20150225,6.06,6.19,6.02,6.09,5.89,0.2,3.4,9197704.06,5625850.267
2015/2/26,600028.SH,20150226,6.06,6.14,5.98,6.13,6.09,0.04,0.66,4941220.88,2993120.615
2015/2/27,600028.SH,20150227,6.1,6.4,6.08,6.32,6.13,0.19,3.1,7714797.18,4821539.142
2015/3/2,600028.SH,20150302,6.28,6.28,6.18,6.26,6.32,-0.06,-0.95,5304923.32,3306997.064
2015/3/3,600028.SH,20150303,6.21,6.22,6.01,6.03,6.26,-0.23,-3.67,4836445,2954049.756
2015/3/4,600028.SH,20150304,6.03,6.14,5.97,6.08,6.03,0.05,0.83,3890032.93,2362151.455
2015/3/5,600028.SH,20150305,6.01,6.05,5.9,5.95,6.08,-0.13,-2.14,4048355.82,2416030.993
2015/3/6,600028.SH,20150306,5.94,6.02,5.92,5.96,5.95,0.01,0.17,2320079.73,1385329.115
2015/3/9,600028.SH,20150309,6,6.12,5.95,6.11,5.96,0.15,2.52,4568494.43,2759675.473
2015/3/10,600028.SH,20150310,6.1,6.1,6.02,6.04,6.11,-0.07,-1.15,2783275.26,1687011.625
2015/3/11,600028.SH,20150311,6.03,6.15,6.01,6.06,6.04,0.02,0.33,3173621.14,1928344.706
2015/3/12,600028.SH,20150312,6.08,6.2,6.03,6.16,6.06,0.1,1.65,4924284.26,3016034.996
2015/3/13,600028.SH,20150313,6.17,6.27,6.14,6.17,6.16,0.01,0.16,4621382.34,2867389.672
2015/3/16,600028.SH,20150316,6.18,6.24,6.13,6.24,6.17,0.07,1.13,5126704.8,3177195.948
2015/3/17,600028.SH,20150317,6.26,6.35,6.22,6.34,6.24,0.1,1.6,8017115,5033431.317
2015/3/18,600028.SH,20150318,6.34,6.43,6.28,6.42,6.34,0.08,1.26,7427497.56,4726774.83
2015/3/19,600028.SH,20150319,6.41,6.54,6.36,6.42,6.42,0,0,6895766.56,4437441.652
2015/3/20,600028.SH,20150320,6.4,6.48,6.34,6.41,6.42,-0.01,-0.16,6949045.39,4452966.328
2015/3/23,600028.SH,20150323,6.36,6.44,6.31,6.43,6.41,0.02,0.31,10151705.19,6475950.552
2015/3/24,600028.SH,20150324,6.45,6.47,6.27,6.37,6.43,-0.06,-0.93,8154993.38,5199721.34
2015/3/25,600028.SH,20150325,6.36,6.37,6.23,6.26,6.37,-0.11,-1.73,5463375.74,3437382.068
2015/3/26,600028.SH,20150326,6.25,6.46,6.2,6.44,6.26,0.18,2.88,9729915.15,6211595.146
2015/3/27,600028.SH,20150327,6.46,6.48,6.34,6.37,6.44,-0.07,-1.09,5088544.81,3252205.452
2015/3/30,600028.SH,20150330,6.35,6.51,6.34,6.49,6.37,0.12,1.88,8583803.04,5528736.502
2015/3/31,600028.SH,20150331,6.52,6.58,6.4,6.41,6.49,-0.08,-1.23,8285875.97,5390063.012
2015/4/1,600028.SH,20150401,6.38,6.5,6.37,6.47,6.41,0.06,0.94,5905702.9,3792914.119
2015/4/2,600028.SH,20150402,6.52,6.56,6.42,6.48,6.47,0.01,0.15,6713760.76,4359572.266
2015/4/3,600028.SH,20150403,6.43,6.46,6.39,6.45,6.48,-0.03,-0.46,5365712.97,3449871.718
2015/4/7,600028.SH,20150407,6.49,6.68,6.47,6.66,6.45,0.21,3.26,10631391.13,6974008.593
2015/4/8,600028.SH,20150408,6.69,6.79,6.55,6.74,6.66,0.08,1.2,11558115.44,7718480.217
2015/4/9,600028.SH,20150409,6.68,6.78,6.55,6.67,6.74,-0.07,-1.04,8524739.63,5694398.408
2015/4/10,600028.SH,20150410,6.66,6.73,6.63,6.71,6.67,0.04,0.6,6670608.6,4457166.091
2015/4/13,600028.SH,20150413,6.74,6.85,6.71,6.82,6.71,0.11,1.64,8347083.72,5664169.272
2015/4/14,600028.SH,20150414,6.8,6.8,6.69,6.74,6.82,-0.08,-1.17,6493716.77,4380660.519
2015/4/15,600028.SH,20150415,6.76,6.94,6.65,6.78,6.74,0.04,0.59,8767343.79,5949172.737
